sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,17.400000000000002,10,14.521808818119705,TRUE,70,31.6,17.386959387423104,12.670900292736182,22.103018482110027,Child,Change in BMI,Underweight
F,14.2,17.5,10,14.521808818119705,TRUE,70,31.7,17.33943199484399,12.577611840568881,22.1012521491191,Child,Change in BMI,Underweight
F,14.2,17.6,10,14.521808818119705,TRUE,70,31.8,17.291046303614632,12.483275726355206,22.098816880874057,Child,Change in BMI,Underweight
F,14.2,17.7,10,14.521808818119705,TRUE,70,31.9,17.241813675668006,12.387895972650679,22.095731378685333,Child,Change in BMI,Underweight
F,14.2,17.8,10,14.521808818119705,TRUE,70,32,17.191745384073048,12.291476297288416,22.09201447085768,Child,Change in BMI,Underweight
F,14.2,17.900000000000002,10,14.521808818119705,TRUE,70,32.1,17.140852613034614,12.194020116702436,22.08768510936679,Child,Change in BMI,Underweight
F,14.2,18,10,14.521808818119705,TRUE,70,32.2,17.089146457893488,12.095530549411407,22.08276236637557,Child,Change in BMI,Underweight
F,14.2,18.1,10,14.521808818119705,TRUE,70,32.3,17.036637925126435,11.996010419664561,22.07726543058831,Child,Change in BMI,Underweight
F,14.2,18.2,10,14.521808818119705,TRUE,70,32.4,16.98333793234608,11.895462261250861,22.071213603441294,Child,Change in BMI,Underweight
F,14.2,18.3,10,14.521808818119705,TRUE,70,32.5,16.929257308301047,11.793888321472869,22.064626295129223,Child,Change in BMI,Underweight
F,14.2,18.400000000000002,10,14.521808818119705,TRUE,70,32.6,16.874406792875874,11.69129056528532,22.057523020466427,Child,Change in BMI,Underweight
F,14.2,18.5,10,14.521808818119705,TRUE,70,32.7,16.81879703709105,11.587670679598972,22.049923394583125,Child,Change in BMI,Underweight
F,14.2,18.6,10,14.521808818119705,TRUE,70,32.8,16.76243860310297,11.483030077749289,22.041847128456652,Child,Change in BMI,Underweight
